branch,Address,City,State,Zip,lat,lon
130,536 E MAIN RD,MIDDLETOWN,RI,2842,41.52,-71.28
131,552 CRANSTON ST,PROVIDENCE,RI,2907,41.81,-71.43
132,561B S COUNTY TRL,EXETER,RI,2822,41.53,-71.55
133,579 ATWELLS AVE UNIT E101,PROVIDENCE,RI,2909,41.82,-71.44
134,602 KILLINGLY ST,JOHNSTON,RI,2919,41.83,-71.47
135,6166 POST RD,NORTH KINGSTOWN,RI,2852,41.63,-71.46
136,621 METACOM AVE,WARREN,RI,2885,41.72,-71.26
137,629 GEORGE WASHINGTON HWY,LINCOLN,RI,2865,41.93,-71.46
138,630 RESERVOIR AVE,CRANSTON,RI,2910,41.78,-71.44
139,670 METACOM AVE,WARREN,RI,2885,41.71,-71.27
140,672 PLAINFIELD ST,PROVIDENCE,RI,2909,41.81,-71.46
141,699 BALD HILL RD,WARWICK,RI,2886,41.7,-71.46
142,7 MEMORIAL BLVD,NEWPORT,RI,2840,41.48,-71.31
143,708 GREENWICH AVE,WARWICK,RI,2886,41.72,-71.46
144,720 MAIN ST,EAST GREENWICH,RI,2818,41.65,-71.45
145,740 BRANCH AVE,PROVIDENCE,RI,2904,41.85,-71.43
146,750 MINERAL SPRING AVE,PAWTUCKET,RI,2860,41.87,-71.41
147,777 TIVERTON CASINO BLVD,TIVERTON,RI,2878,41.61,-71.18
148,8 CHAPLE DR,CRANSTON,RI,2920,41.73,-71.49
149,8 GOODING AVE,BRISTOL,RI,2809,41.69,-71.28
150,800 TIOGUE AVE,COVENTRY,RI,2816,41.68,-71.56
151,81 NEWPORT AVE,PAWTUCKET,RI,2861,41.86,-71.35
152,81 WASHINGTON DR,JOHNSTON,RI,2919,41.82,-71.56
153,811 W MAIN RD,MIDDLETOWN,RI,2842,41.52,-71.28
154,850 EDDY ST,PROVIDENCE,RI,2905,41.8,-71.41
155,851 TIOGUE AVE,COVENTRY,RI,2816,41.68,-71.57
156,855 POINT JUDITH RD STE 5,NARRAGANSETT,RI,2882,41.39,-71.49
157,860 ELMWOOD AVE,PROVIDENCE,RI,2907,41.79,-71.42
158,860 POST RD,WARWICK,RI,2888,41.75,-71.42
159,88 W WARWICK AVE STE 11,WEST WARWICK,RI,2893,41.7,-71.52
160,895 BALD HILL RD,WARWICK,RI,2886,41.71,-71.49
161,900 CRANSTON ST,CRANSTON,RI,2920,41.8,-71.44
162,900 TIOGUE AVE,COVENTRY,RI,2816,41.68,-71.57
163,900 WAMPANOAG TRL,RIVERSIDE,RI,2915,41.77,-71.36
164,925 WILLETT AVE,RIVERSIDE,RI,2915,41.76,-71.35
165,94 POINT JUDITH RD,NARRAGANSETT,RI,2882,41.43,-71.48
166,941 VICTORY HWY,NORTH SMITHFIELD,RI,2896,42.01,-71.59
167,957 BROAD ST,CENTRAL FALLS,RI,2863,41.89,-71.39
168,970 DOUGLAS PIKE UNIT 2,SMITHFIELD,RI,2917,41.92,-71.52
169,970 MAIN ST,WEST WARWICK,RI,2893,41.72,-71.52
